metric,source_split,backbone,source_hospital,target_hospital,n_seeds,mean,std,min,max,expected_seeds,status,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit
directed_hce,val,resnet50,1,0,3,0.0909942868663307,0.039504795300261554,0.0517803573188939,0.130783661030458,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hce,val,resnet50,1,3,3,0.1228752403477722,0.028870151632033776,0.0895949550019924,0.1411894829980317,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hce,val,resnet50,1,4,3,-0.003829793972917462,0.11672897294329394,-0.1329378480451022,0.0942501320767229,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hcs,val,resnet50,1,0,3,-0.10473373378335253,0.005756188612006547,-0.1112275156732163,-0.1002593230169302,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hcs,val,resnet50,1,3,3,-0.0631040769302676,0.00525694688863825,-0.0679587796496139,-0.0575208759670737,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hcs,val,resnet50,1,4,3,-0.10389242684529264,0.021188783199228758,-0.1211704549676189,-0.0802511848956792,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
