source_split,seed,backbone,source_hospital,target_hospital,n_sources,within_signed_shift,cross_signed_shift,hce,number_expected_runs,number_completed_runs,missing_runs_detail,status,protocol_hash,git_commit
val,11,resnet50,1,0,9980,-0.0462105986650723,0.0845730623653856,0.130783661030458,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,3,9929,-0.0456414691557261,0.0921998138875663,0.1378412830432925,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,4,9973,-0.0463683608744729,-0.019170026824846,0.0271983340496269,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,0,9980,-0.0296965390754251,0.060722303174215,0.0904188422496402,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,3,9929,-0.0297229005096222,0.1114665824884094,0.1411894829980317,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,4,9973,-0.0297825280967706,0.0644676039799522,0.0942501320767229,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,0,9980,-0.0280043915965042,0.0237759657223896,0.0517803573188939,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,3,9929,-0.0259967342004526,0.0635982208015397,0.0895949550019924,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,4,9973,-0.0282442354708159,-0.1611820835159182,-0.1329378480451022,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
