source_split,seed,backbone,status,hcs_pair_weighted,n_pairs,expected_pairs,missing_pairs,unexpected_pairs,summary_type,n_unique_sources,delta_within,delta_cross,hcs_common_support,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit
val,11,resnet50,complete,-0.0756523710686476,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,complete,-0.0546054749407523,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,complete,-0.1037422966635713,3.0,"[(1, 0), (1, 3), (1, 4)]",[],[],pair_weighted,,,,,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,complete,,,,,,common_support,10000.0,0.3865050176594775,0.3108526465908297,-0.0756523710686476,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,complete,,,,,,common_support,10000.0,0.3165039511570548,0.2618984762163025,-0.0546054749407523,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,complete,,,,,,common_support,10000.0,0.4575813788694695,0.3538390822058981,-0.1037422966635713,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
