source_split,seed,backbone,source_hospital,target_hospital,n_sources,delta_within,delta_cross,hcs,number_expected_runs,number_completed_runs,missing_runs_detail,status,protocol_hash,git_commit
val,11,resnet50,1,0,10000,0.386245621947715,0.3073036403147386,-0.0789419816329763,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,3,10000,0.386245621947715,0.3445489255199903,-0.0416966964277247,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,4,10000,0.3870238090830022,0.2807053739377603,-0.1063184351452418,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,0,10000,0.3161916882194088,0.23704035799081,-0.0791513302285987,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,3,10000,0.3161916882194088,0.2816692192693408,-0.0345224689500679,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,4,10000,0.3171284770323468,0.2669858513887566,-0.0501426256435902,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,0,10000,0.4572467384372868,0.3462830329679706,-0.1109637054693162,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,3,10000,0.4572467384372868,0.3751135963102774,-0.0821331421270093,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,4,10000,0.458250659733835,0.3401206173394466,-0.1181300423943883,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
