source_split,source_hospital,target_hospital,candidate_sources,accepted_sources,coverage,summary_type,status,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit
val,1,0.0,34904,34196,0.9797157918863167,directed,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,1,3.0,34904,34009,0.974358239743296,directed,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,1,4.0,34904,34184,0.9793719917487969,directed,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,1,,34904,33947,0.9725819390327756,common_support,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
