source_split,seed,backbone,source_hospital,target_hospital,n_sources,within_signed_shift,cross_signed_shift,hce,number_expected_runs,number_completed_runs,missing_runs_detail,status,protocol_hash,git_commit
val,11,resnet50,1,0,10000,0.0005391667605142,0.0894162480793279,0.0888770813188136,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,3,10000,0.0005391667605142,0.0974500054823993,0.096910838721885,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,11,resnet50,1,4,10000,0.0001337850771267,-0.0264194410250745,-0.0265532261022012,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,0,10000,0.000267166031902,0.0697475056344994,0.0694803396025974,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,3,10000,0.000267166031902,0.1123482785548959,0.1120811125229939,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,42,resnet50,1,4,10000,-0.0005258262474363,0.074320678518867,0.0748465047663033,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,0,10000,0.037872175823165,0.055941409856723,0.018069234033558,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,3,10000,0.037872175823165,0.072260239395142,0.0343880635719769,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
val,101,resnet50,1,4,10000,0.0373999216971799,-0.2121316832029988,-0.2495316049001787,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
