metric,source_split,backbone,source_hospital,target_hospital,n_seeds,mean,std,min,max,expected_seeds,status,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit
directed_hce,val,resnet50,1,0,3,0.05880888498498967,0.03659026874778,0.018069234033558,0.0888770813188136,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hce,val,resnet50,1,3,3,0.0811266716056186,0.0411813964368858,0.0343880635719769,0.1120811125229939,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hce,val,resnet50,1,4,3,-0.0670794420786922,0.16594297256506513,-0.2495316049001787,0.0748465047663033,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hcs,val,resnet50,1,0,3,-0.0896856724436304,0.01842761443568467,-0.1109637054693162,-0.0789419816329763,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hcs,val,resnet50,1,3,3,-0.05278410250160063,0.025668891292294792,-0.0821331421270093,-0.0345224689500679,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
directed_hcs,val,resnet50,1,4,3,-0.0915303677277401,0.03632612575778082,-0.1181300423943883,-0.0501426256435902,3,complete,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608
