source_split,source_hospital,target_hospital,n_triplets,within_mean,cross_mean,within_median,cross_median,mean_paired_difference,paired_smd,mean_pair_distance,source_table,population,protocol_hash,git_commit,feature,n_pairs,paired_mean_difference,train_scale,paired_smd_status,candidate_sources,accepted_sources,coverage
val,1,0.0,,0.9314898493397132,0.931234333191382,1.0,1.0,,-0.0011251616948054,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_2,102588.0,-0.0002555161483311,0.2270928254230879,estimable,,,
val,1,0.0,,0.9343354817175256,0.9344417357689252,1.0,1.0,,0.0005096143922166,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_3,102588.0,0.0001062540513997,0.2084989219743439,estimable,,,
val,1,0.0,,0.9515236023736938,0.9521836397470952,1.0,1.0,,0.0041837086111049,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_4,102588.0,0.0006600373734013,0.1577637055433113,estimable,,,
val,1,0.0,,0.940228907133388,0.940236950913484,1.0,1.0,,3.807142832766372e-05,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_5,102588.0,8.043780096112606e-06,0.211281279674705,estimable,,,
val,1,0.0,,0.9312537144177436,0.9294614079040676,1.0,1.0,,-0.0080119887074513,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_6,102588.0,-0.001792306513676,0.223703075368688,estimable,,,
val,1,0.0,,0.9392805692582222,0.938566100719626,1.0,1.0,,-0.0034182976308019,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_7,102588.0,-0.0007144685385961,0.209012969543122,estimable,,,
val,1,0.0,,0.9353533197565748,0.9338062105064676,1.0,1.0,,-0.0068360678226301,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_8,102588.0,-0.0015471092501072,0.2263156671713614,estimable,,,
val,1,0.0,,0.0004678909814013,0.0004678909814013,0.0,0.0,,0.0,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,empty_mask,102588.0,0.0,0.0229947313033299,estimable,,,
val,1,3.0,,0.9361264858794868,0.9363355319360588,0.9975043402777778,0.9979383680555556,,0.0011764012233748,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,tissue_fraction,102027.0,0.0002090460565721,0.1776996252795997,estimable,,,
val,1,3.0,,1.2595685455810717,1.2555107961618004,1.0,1.0,,-0.0028526801454152,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,component_count,102027.0,-0.0040577494192713,1.4224340663613888,estimable,,,
val,1,3.0,,0.8955703654792434,0.8962396220817179,0.9975043402777778,0.9979383680555556,,0.0024183127033577,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,area_mean,102027.0,0.0006692566024747,0.2767452701817624,estimable,,,
val,1,3.0,,0.0288420609935897,0.0288706466671637,0.0,0.0,,0.0002635674076254,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,area_std,102027.0,2.858567357393985e-05,0.1084567846664975,estimable,,,
val,1,3.0,,0.9328777181751592,0.9333338063834956,0.9975043402777778,0.9979383680555556,,0.0024037366431113,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,area_max,102027.0,0.0004560882083364,0.1897413386127484,estimable,,,
val,1,3.0,,1.2059097768624203,1.2029411080060683,1.0405113260054792,1.0331456303681197,,-0.0056224416279024,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,normalized_perimeter,102027.0,-0.0029686688563521,0.5280034996930081,estimable,,,
val,1,3.0,,0.6101869679420117,0.6144065382004816,0.7161968081386322,0.729246241640472,,0.0153747636793971,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,compactness,102027.0,0.00421957025847,0.2744478124320315,estimable,,,
val,1,3.0,,0.1533682374060136,0.1503671103259575,0.0620547991062806,0.0566481396683687,,-0.0120974639096722,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,eccentricity,102027.0,-0.0030011270800561,0.2480790273452784,estimable,,,
val,1,3.0,,0.4956382906041862,0.4955806859631611,0.4947916666666667,0.4947916666666667,,-0.001132809844687,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,centroid_x,102027.0,-5.7604641025049406e-05,0.0508511126516255,estimable,,,
val,1,3.0,,0.4951611018858421,0.4951735636992422,0.4947916666666667,0.4947916666666667,,0.0002479362399603,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,centroid_y,102027.0,1.2461813399976897e-05,0.0502621698303245,estimable,,,
val,1,3.0,,0.9237125573990218,0.924028305620081,1.0,1.0,,0.0013980766222068,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_0,102027.0,0.0003157482210591,0.22584471841088,estimable,,,
val,1,3.0,,0.935037588855156,0.9352804875639537,1.0,1.0,,0.0011582121219084,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_1,102027.0,0.0002428987087976,0.2097186726015617,estimable,,,
val,1,3.0,,0.9318765747210296,0.9319300417260872,1.0,1.0,,0.0002354411899974,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_2,102027.0,5.346700505748478e-05,0.2270928254230879,estimable,,,
val,1,3.0,,0.9350837240081056,0.935057976381252,1.0,1.0,,-0.0001234904555374,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_3,102027.0,-2.5747626853675988e-05,0.2084989219743439,estimable,,,
val,1,3.0,,0.951949472474198,0.9524468898245072,1.0,1.0,,0.0031529263882095,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_4,102027.0,0.0004974173503092,0.1577637055433113,estimable,,,
val,1,3.0,,0.940524207133896,0.9410876590112176,1.0,1.0,,0.0026668329451108,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_5,102027.0,0.0005634518773216,0.211281279674705,estimable,,,
val,1,3.0,,0.9315826019092984,0.931577107806022,1.0,1.0,,-2.4559802173165238e-05,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_6,102027.0,-5.49410327658365e-06,0.223703075368688,estimable,,,
val,1,3.0,,0.9396845952082536,0.9399738300737794,1.0,1.0,,0.0013838130052791,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_7,102027.0,0.0002892348655257,0.209012969543122,estimable,,,
val,1,3.0,,0.9356870512064208,0.9356374894176296,1.0,1.0,,-0.0002189940688183,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,grid_8,102027.0,-4.9561788791202327e-05,0.2263156671713614,estimable,,,
val,1,3.0,,0.000470463700785,0.000470463700785,0.0,0.0,,0.0,,feature_balance,hospital1,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,empty_mask,102027.0,0.0,0.0229947313033299,estimable,,,
