source_split,seed,backbone,source_hospital,target_hospital,n_sources,delta_within,delta_cross,hcs,number_expected_runs,number_completed_runs,missing_runs_detail,status,protocol_hash,git_commit,metric,setting,population,within_signed_shift,cross_signed_shift,hce
val,11,resnet50,1,0,10000,0.386245621947715,0.3073036403147386,-0.0789419816329763,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,11,resnet50,1,3,10000,0.386245621947715,0.3445489255199903,-0.0416966964277247,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,11,resnet50,1,4,10000,0.3870238090830022,0.2807053739377603,-0.1063184351452418,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,42,resnet50,1,0,10000,0.3161916882194088,0.23704035799081,-0.0791513302285987,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,42,resnet50,1,3,10000,0.3161916882194088,0.2816692192693408,-0.0345224689500679,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,42,resnet50,1,4,10000,0.3171284770323468,0.2669858513887566,-0.0501426256435902,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,101,resnet50,1,0,10000,0.4572467384372868,0.3462830329679706,-0.1109637054693162,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,101,resnet50,1,3,10000,0.4572467384372868,0.3751135963102774,-0.0821331421270093,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,101,resnet50,1,4,10000,0.458250659733835,0.3401206173394466,-0.1181300423943883,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,random_paired,hospital1,,,
val,11,resnet50,1,0,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.0005391667605142,0.0894162480793279,0.0888770813188136
val,11,resnet50,1,3,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.0005391667605142,0.0974500054823993,0.096910838721885
val,11,resnet50,1,4,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.0001337850771267,-0.0264194410250745,-0.0265532261022012
val,42,resnet50,1,0,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.000267166031902,0.0697475056344994,0.0694803396025974
val,42,resnet50,1,3,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.000267166031902,0.1123482785548959,0.1120811125229939
val,42,resnet50,1,4,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,-0.0005258262474363,0.074320678518867,0.0748465047663033
val,101,resnet50,1,0,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.037872175823165,0.055941409856723,0.018069234033558
val,101,resnet50,1,3,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.037872175823165,0.072260239395142,0.0343880635719769
val,101,resnet50,1,4,10000,,,,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hce,random_paired,hospital1,0.0373999216971799,-0.2121316832029988,-0.2495316049001787
val,11,resnet50,1,0,9980,0.0,0.0,0.0,3,3,[],complete,ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,directed_hcs,roi_only,hospital1,,,
