source_split,source_hospital,target_hospital,feature,n_pairs,within_mean,cross_mean,within_median,cross_median,paired_mean_difference,train_scale,paired_smd,paired_smd_status
val,1,0,tissue_fraction,102588,0.9356473677798437,0.9355229446220019,0.9975043402777778,0.9979383680555556,-0.00012442315784172293,0.1776996252795997,-0.0007001880709987461,estimable
val,1,0,component_count,102588,1.2657035910632823,1.2574960034312006,1.0,1.0,-0.008207587632081724,1.4224340663613888,-0.005770100580532971,estimable
val,1,0,area_mean,102588,0.893765605403155,0.8945323446108744,0.9975043402777778,0.9979383680555556,0.0007667392077194851,0.2767452701817624,0.0027705593928160055,estimable
val,1,0,area_std,102588,0.02970365198673933,0.02943151978000947,0.0,0.0,-0.0002721322067298506,0.10845678466649752,-0.002509130319201807,estimable
val,1,0,area_max,102588,0.9322543754694479,0.9320061965601077,0.9975043402777778,0.9979383680555556,-0.0002481789093401656,0.18974133861274847,-0.0013079854456317765,estimable
val,1,0,normalized_perimeter,102588,1.210920267066381,1.220794675890987,1.042668688309506,1.0368284781867994,0.009874408824605859,0.5280034996930081,0.018701407907991217,estimable
val,1,0,compactness,102588,0.6075440221663208,0.6069211669189394,0.7141118099438473,0.7262999006316979,-0.0006228552473814312,0.2744478124320315,-0.0022694851959721295,estimable
val,1,0,eccentricity,102588,0.15484533982754664,0.15211250527811038,0.06251382686311699,0.057553404074726394,-0.0027328345494362625,0.24807902734527842,-0.0110159838124191,estimable
val,1,0,centroid_x,102588,0.49570904825809775,0.49553248615437107,0.4947916666666667,0.4947916666666667,-0.0001765621037268594,0.05085111265162558,-0.0034721384551890467,estimable
val,1,0,centroid_y,102588,0.4951771441169713,0.4946841288850123,0.4947916666666667,0.4947916666666667,-0.0004930152319590421,0.05026216983032455,-0.009808872828677453,estimable
val,1,0,grid_0,102588,0.922850943747685,0.9238901525397707,1.0,1.0,0.001039208792085819,0.22584471841088005,0.004601430573174543,estimable
val,1,0,grid_1,102588,0.9345099222740476,0.9358859703071997,1.0,1.0,0.0013760480331520256,0.20971867260156174,0.006561399688840956,estimable
val,1,0,grid_2,102588,0.9314898493397132,0.931234333191382,1.0,1.0,-0.0002555161483311888,0.22709282542308798,-0.0011251616948054013,estimable
val,1,0,grid_3,102588,0.9343354817175255,0.9344417357689252,1.0,1.0,0.00010625405139977386,0.2084989219743439,0.000509614392216611,estimable
val,1,0,grid_4,102588,0.9515236023736938,0.9521836397470952,1.0,1.0,0.0006600373734013725,0.15776370554331137,0.004183708611104918,estimable
val,1,0,grid_5,102588,0.9402289071333879,0.940236950913484,1.0,1.0,8.043780096112606e-06,0.21128127967470503,3.807142832766372e-05,estimable
val,1,0,grid_6,102588,0.9312537144177437,0.9294614079040677,1.0,1.0,-0.0017923065136760635,0.223703075368688,-0.008011988707451336,estimable
val,1,0,grid_7,102588,0.9392805692582222,0.9385661007196261,1.0,1.0,-0.0007144685385961321,0.20901296954312204,-0.00341829763080194,estimable
val,1,0,grid_8,102588,0.9353533197565749,0.9338062105064676,1.0,1.0,-0.001547109250107225,0.22631566717136145,-0.006836067822630178,estimable
val,1,0,empty_mask,102588,0.0004678909814013335,0.0004678909814013335,0.0,0.0,0.0,0.02299473130332993,0.0,estimable
val,1,3,tissue_fraction,102027,0.9361264858794867,0.9363355319360589,0.9975043402777778,0.9979383680555556,0.00020904605657217108,0.1776996252795997,0.0011764012233748363,estimable
val,1,3,component_count,102027,1.2595685455810717,1.2555107961618004,1.0,1.0,-0.00405774941927137,1.4224340663613888,-0.00285268014541522,estimable
val,1,3,area_mean,102027,0.8955703654792434,0.8962396220817179,0.9975043402777778,0.9979383680555556,0.000669256602474715,0.2767452701817624,0.0024183127033577,estimable
val,1,3,area_std,102027,0.028842060993589786,0.02887064666716373,0.0,0.0,2.858567357393985e-05,0.10845678466649752,0.0002635674076254449,estimable
val,1,3,area_max,102027,0.9328777181751591,0.9333338063834955,0.9975043402777778,0.9979383680555556,0.0004560882083364643,0.18974133861274847,0.002403736643111362,estimable
val,1,3,normalized_perimeter,102027,1.2059097768624205,1.2029411080060683,1.0405113260054792,1.0331456303681195,-0.0029686688563521327,0.5280034996930081,-0.0056224416279024225,estimable
val,1,3,compactness,102027,0.6101869679420117,0.6144065382004816,0.7161968081386322,0.729246241640472,0.004219570258470011,0.2744478124320315,0.015374763679397193,estimable
val,1,3,eccentricity,102027,0.15336823740601366,0.15036711032595756,0.06205479910628069,0.05664813966836874,-0.003001127080056103,0.24807902734527842,-0.012097463909672259,estimable
val,1,3,centroid_x,102027,0.49563829060418624,0.4955806859631611,0.4947916666666667,0.4947916666666667,-5.7604641025049406e-05,0.05085111265162558,-0.001132809844687006,estimable
val,1,3,centroid_y,102027,0.49516110188584217,0.4951735636992422,0.4947916666666667,0.4947916666666667,1.2461813399976897e-05,0.05026216983032455,0.00024793623996030394,estimable
val,1,3,grid_0,102027,0.9237125573990218,0.924028305620081,1.0,1.0,0.0003157482210591314,0.22584471841088005,0.0013980766222068104,estimable
val,1,3,grid_1,102027,0.935037588855156,0.9352804875639537,1.0,1.0,0.0002428987087976712,0.20971867260156174,0.001158212121908416,estimable
val,1,3,grid_2,102027,0.9318765747210297,0.9319300417260872,1.0,1.0,5.346700505748478e-05,0.22709282542308798,0.000235441189997405,estimable
val,1,3,grid_3,102027,0.9350837240081057,0.935057976381252,1.0,1.0,-2.5747626853675988e-05,0.2084989219743439,-0.0001234904555374357,estimable
val,1,3,grid_4,102027,0.951949472474198,0.9524468898245072,1.0,1.0,0.0004974173503092318,0.15776370554331137,0.0031529263882095764,estimable
val,1,3,grid_5,102027,0.940524207133896,0.9410876590112176,1.0,1.0,0.0005634518773216893,0.21128127967470503,0.002666832945110881,estimable
val,1,3,grid_6,102027,0.9315826019092985,0.931577107806022,1.0,1.0,-5.49410327658365e-06,0.223703075368688,-2.4559802173165234e-05,estimable
val,1,3,grid_7,102027,0.9396845952082536,0.9399738300737794,1.0,1.0,0.0002892348655257922,0.20901296954312204,0.001383813005279174,estimable
val,1,3,grid_8,102027,0.9356870512064208,0.9356374894176297,1.0,1.0,-4.9561788791202327e-05,0.22631566717136145,-0.0002189940688183783,estimable
val,1,3,empty_mask,102027,0.0004704637007850863,0.0004704637007850863,0.0,0.0,0.0,0.02299473130332993,0.0,estimable
val,1,4,tissue_fraction,102552,0.9362633634356092,0.9374695699769654,0.9975043402777778,0.9979383680555556,0.0012062065413562552,0.1776996252795997,0.006787895807086602,estimable
val,1,4,component_count,102552,1.2646364771042984,1.2527985802324675,1.0,1.0,-0.011837896871830875,1.4224340663613888,-0.008322281609939518,estimable
val,1,4,area_mean,102552,0.8942397734532562,0.89547730602609,0.9975043402777778,0.9979383680555556,0.0012375325728339072,0.2767452701817624,0.004471738837744591,estimable
val,1,4,area_std,102552,0.0298064371951887,0.030080091662874363,0.0,0.0,0.00027365446768565693,0.10845678466649752,0.002523165964463533,estimable
val,1,4,area_max,102552,0.932847051619409,0.933816880577455,0.9975043402777778,0.9979383680555556,0.0009698289580462163,0.18974133861274847,0.005111321365902153,estimable
val,1,4,normalized_perimeter,102552,1.2095570344463282,1.20691748492304,1.0420368115201326,1.035302992672146,-0.0026395495232884735,0.5280034996930081,-0.004999113689252365,estimable
val,1,4,compactness,102552,0.6089397805360129,0.6127946466283918,0.714189515255049,0.7285416713304949,0.003854866092378751,0.2744478124320315,0.014045898410407006,estimable
